Date : 2025-08-10 14:04:31
Directory : e:\Workspace\Project-laptop-shop\client
Total : 244 files,  49396 codes, 2517 comments, 3708 blanks, all 55621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     21,867 |          0 |          4 |     21,871 |
| JavaScript |        148 |     20,873 |      2,322 |      2,063 |     25,258 |
| HTML       |         80 |      4,612 |         24 |      1,250 |      5,886 |
| CSS        |         11 |      2,043 |        171 |        391 |      2,605 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionGroup.js         | JavaScript |         36 |          0 |          3 |         39 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionsSection.js      | JavaScript |         72 |          0 |          3 |         75 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\StatsCards.js              | JavaScript |         93 |          0 |          2 |         95 |
| e:\Workspace\Project-laptop-shop\client\src\components\progress\AdvancedScrollProgressBar.js | JavaScript |         93 |          3 |         13 |        109 |
| e:\Workspace\Project-laptop-shop\client\src\components\progress\LoadingProgressBar.js        | JavaScript |         52 |          0 |          6 |         58 |
| e:\Workspace\Project-laptop-shop\client\src\components\progress\ScrollProgressBar.js         | JavaScript |         30 |          1 |          9 |         40 |
| e:\Workspace\Project-laptop-shop\client\src\components\progress\ScrollProgressController.js  | JavaScript |         11 |          0 |          4 |         15 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionBar.js                 | JavaScript |         11 |          0 |          3 |         14 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionHeader.js              | JavaScript |         20 |          0 |          5 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\components\section\SectionSideBar.js             | JavaScript |         66 |          8 |          8 |         82 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\AuthSplashManager.js           | JavaScript |        143 |          4 |         17 |        164 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\AuthSplashScreen.js            | JavaScript |        173 |          2 |         26 |        201 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashController.js            | JavaScript |         37 |          4 |          7 |         48 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashScreen.js                | JavaScript |         85 |          0 |         15 |        100 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashScreenManager.js         | JavaScript |         48 |          4 |         11 |         63 |
| e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashWrapper.js               | JavaScript |         41 |          8 |         11 |         60 |
| e:\Workspace\Project-laptop-shop\client\src\config\axios.js                                  | JavaScript |         84 |         89 |         23 |        196 |
| e:\Workspace\Project-laptop-shop\client\src\config\ckeditor.js                               | JavaScript |        238 |         63 |          8 |        309 |
| e:\Workspace\Project-laptop-shop\client\src\config\constant.js                               | JavaScript |        285 |        145 |         23 |        453 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\AXIOS_DETAILED_EXPLANATION.md          | HTML       |        186 |          0 |         47 |        233 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\CKEDITOR_CONFIG_EXPLANATION.md         | HTML       |        320 |          0 |         59 |        379 |
| e:\Workspace\Project-laptop-shop\client\src\config\md\CONSTANT_EXPLANATION.md                | HTML       |        321 |          0 |         88 |        409 |
| e:\Workspace\Project-laptop-shop\client\src\config\toast.js                                  | JavaScript |         35 |          4 |          3 |         42 |
| e:\Workspace\Project-laptop-shop\client\src\context\AuthContext.js                           | JavaScript |         82 |          7 |          9 |         98 |
| e:\Workspace\Project-laptop-shop\client\src\context\CartContext.js                           | JavaScript |        113 |         17 |         23 |        153 |
| e:\Workspace\Project-laptop-shop\client\src\fontawesome.js                                   | JavaScript |          4 |          3 |          3 |         10 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RedirectIfAuthenticated.js                 | JavaScript |          8 |          0 |          2 |         10 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RequireAdminAuth.js                        | JavaScript |         36 |         69 |         15 |        120 |
| e:\Workspace\Project-laptop-shop\client\src\guard\RequireAuth.js                             | JavaScript |         20 |         70 |         11 |        101 |
| e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_ADMIN_AUTH_EXPLANATION.md       | HTML       |        238 |          0 |         71 |        309 |
| e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_AUTH_EXPLANATION.md             | HTML       |        300 |          0 |         90 |        390 |
| e:\Workspace\Project-laptop-shop\client\src\hooks\useDeviceDetection.js                      | JavaScript |         36 |          8 |         11 |         55 |
| e:\Workspace\Project-laptop-shop\client\src\index.js                                         | JavaScript |         13 |          3 |          2 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\AdminLayout.js                           | JavaScript |         28 |         65 |          5 |         98 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\MainLayout.js                            | JavaScript |         21 |         32 |          3 |         56 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\md\ADMIN_LAYOUT_EXPLANATION.md           | HTML       |        301 |          0 |         90 |        391 |
| e:\Workspace\Project-laptop-shop\client\src\layouts\md\MAIN_LAYOUT_EXPLANATION.md            | HTML       |        191 |          0 |         64 |        255 |
| e:\Workspace\Project-laptop-shop\client\src\logo.svg                                         | XML        |          1 |          0 |          0 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\pages\About.js                                   | JavaScript |        151 |          1 |         11 |        163 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Cart.js                                    | JavaScript |        231 |          5 |         14 |        250 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Checkout.js                                | JavaScript |        306 |          9 |         34 |        349 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Detail.js                                  | JavaScript |        392 |         13 |         41 |        446 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Document.js                                | JavaScript |        294 |          2 |          6 |        302 |
| e:\Workspace\Project-laptop-shop\client\src\pages\FavoriteProduct.js                         | JavaScript |        242 |         10 |         32 |        284 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Home.js                                    | JavaScript |        328 |          5 |         46 |        379 |
| e:\Workspace\Project-laptop-shop\client\src\pages\News.js                                    | JavaScript |        193 |         10 |         27 |        230 |
| e:\Workspace\Project-laptop-shop\client\src\pages\NotFound.js                                | JavaScript |         86 |          0 |          1 |         87 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Notification.js                            | JavaScript |         81 |          0 |          6 |         87 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Order.js                                   | JavaScript |        491 |         14 |         43 |        548 |
| e:\Workspace\Project-laptop-shop\client\src\pages\Product.js                                 | JavaScript |        240 |         10 |         32 |        282 |
| e:\Workspace\Project-laptop-shop\client\src\pages\ProductDetail.js                           | JavaScript |          0 |          0 |          1 |          1 |
