"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\components\md\TABLEDASHBOARD.md", "HTML", 0, 17, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\ZALOBUTTON.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\permission\AddPermissionModal.js", "JavaScript", 63, 0, 0, 0, 0, 0, 3, 66
"e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionGroup.js", "JavaScript", 36, 0, 0, 0, 0, 0, 3, 39
"e:\Workspace\Project-laptop-shop\client\src\components\permission\PermissionsSection.js", "JavaScript", 72, 0, 0, 0, 0, 0, 3, 75
"e:\Workspace\Project-laptop-shop\client\src\components\permission\StatsCards.js", "JavaScript", 93, 0, 0, 0, 0, 0, 2, 95
"e:\Workspace\Project-laptop-shop\client\src\components\progress\AdvancedScrollProgressBar.js", "JavaScript", 93, 0, 0, 0, 0, 3, 13, 109
"e:\Workspace\Project-laptop-shop\client\src\components\progress\LoadingProgressBar.js", "JavaScript", 52, 0, 0, 0, 0, 0, 6, 58
"e:\Workspace\Project-laptop-shop\client\src\components\progress\ScrollProgressBar.js", "JavaScript", 30, 0, 0, 0, 0, 1, 9, 40
"e:\Workspace\Project-laptop-shop\client\src\components\progress\ScrollProgressController.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"e:\Workspace\Project-laptop-shop\client\src\components\section\SectionBar.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"e:\Workspace\Project-laptop-shop\client\src\components\section\SectionHeader.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"e:\Workspace\Project-laptop-shop\client\src\components\section\SectionSideBar.js", "JavaScript", 66, 0, 0, 0, 0, 8, 8, 82
"e:\Workspace\Project-laptop-shop\client\src\components\splash\AuthSplashManager.js", "JavaScript", 143, 0, 0, 0, 0, 4, 17, 164
"e:\Workspace\Project-laptop-shop\client\src\components\splash\AuthSplashScreen.js", "JavaScript", 173, 0, 0, 0, 0, 2, 26, 201
"e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashController.js", "JavaScript", 37, 0, 0, 0, 0, 4, 7, 48
"e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashScreen.js", "JavaScript", 85, 0, 0, 0, 0, 0, 15, 100
"e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashScreenManager.js", "JavaScript", 48, 0, 0, 0, 0, 4, 11, 63
"e:\Workspace\Project-laptop-shop\client\src\components\splash\SplashWrapper.js", "JavaScript", 41, 0, 0, 0, 0, 8, 11, 60
"e:\Workspace\Project-laptop-shop\client\src\config\axios.js", "JavaScript", 84, 0, 0, 0, 0, 89, 23, 196
"e:\Workspace\Project-laptop-shop\client\src\config\ckeditor.js", "JavaScript", 238, 0, 0, 0, 0, 63, 8, 309
"e:\Workspace\Project-laptop-shop\client\src\config\constant.js", "JavaScript", 285, 0, 0, 0, 0, 145, 23, 453
"e:\Workspace\Project-laptop-shop\client\src\config\md\AXIOS_DETAILED_EXPLANATION.md", "HTML", 0, 186, 0, 0, 0, 0, 47, 233
"e:\Workspace\Project-laptop-shop\client\src\config\md\CKEDITOR_CONFIG_EXPLANATION.md", "HTML", 0, 320, 0, 0, 0, 0, 59, 379
"e:\Workspace\Project-laptop-shop\client\src\config\md\CONSTANT_EXPLANATION.md", "HTML", 0, 321, 0, 0, 0, 0, 88, 409
"e:\Workspace\Project-laptop-shop\client\src\config\toast.js", "JavaScript", 35, 0, 0, 0, 0, 4, 3, 42
"e:\Workspace\Project-laptop-shop\client\src\context\AuthContext.js", "JavaScript", 82, 0, 0, 0, 0, 7, 9, 98
"e:\Workspace\Project-laptop-shop\client\src\context\CartContext.js", "JavaScript", 113, 0, 0, 0, 0, 17, 23, 153
"e:\Workspace\Project-laptop-shop\client\src\fontawesome.js", "JavaScript", 4, 0, 0, 0, 0, 3, 3, 10
"e:\Workspace\Project-laptop-shop\client\src\guard\RedirectIfAuthenticated.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
